───────────────────────────────────────────────────────────────────────────────
Language                 Files     Lines   Blanks  Comments     Code Complexity
───────────────────────────────────────────────────────────────────────────────
TypeScript                 197     32206     3693      2122    26391       4544
───────────────────────────────────────────────────────────────────────────────
~nts/diagram/Diagram3DView.tsx      1948      290       220     1438        294
components/DiagramCanvas.tsx        1380      114        40     1226        359
~ents/ComponentEditorModal.tsx      1317       70        11     1236        195
services/threePrimitives.ts         1258      170       206      882        100
components/MainLayout.tsx           1016      103        49      864        239
~nents/diagram/DiagramNode.tsx      1009      103        51      855        177
components/SettingsPanel.tsx        1003       58        24      921        144
components/Inventory.tsx             976       85        30      861        153
components/ChatPanel.tsx             866       61        31      774        155
~ts/diagram/componentShapes.ts       697       56        97      544         74
~gemini/features/components.ts       524       59        37      428         87
~ervices/componentValidator.ts       502       66        93      343         66
components/ChatMessage.tsx           479       35        20      424         65
services/gemini/prompts.ts           389      149         4      236         63
~__/componentValidator.test.ts       379       79        29      271         15
components/ThreeViewer.tsx           350       18         3      329         77
hooks/useConversations.ts            349       44        30      275         72
services/storage.ts                  324       40        32      252         46
~ests__/DiagramCanvas.test.tsx       316       62        12      242          3
services/aiContextBuilder.ts         316       48        55      213         62
services/liveAudio.ts                312       42        19      251         39
~ents/ConversationSwitcher.tsx       306       22        14      270         47
~vices/gemini/features/chat.ts       299       35        16      248         90
~mponents/layout/AppHeader.tsx       294       24         2      268         77
contexts/LayoutContext.tsx           291       36        24      231         62
types.ts                             290       37        33      220         41
services/responseParser.ts           280       31        46      203         30
hooks/useAIActions.ts                251       29        12      210         36
~ices/gemini/features/media.ts       245       25         3      217         43
services/gemini/types.ts             243       20        24      199          2
hooks/useToast.tsx                   227       33        36      158         16
hooks/useInventorySync.ts            225       35        52      138         30
~/settings/ProfileSettings.tsx       214       16         3      195         16
services/fzpzLoader.ts               213       23        10      180         51
~nents/diagram/diagramState.ts       208       35        12      161         53
~_tests__/ThreeViewer.test.tsx       197        7         0      190          1
~ks/actions/diagramHandlers.ts       196       31         1      164         22
~ces/threeCodeRunner.worker.ts       195       25        22      148         43
~t/assistant/AssistantTabs.tsx       192       17         1      174         23
~onents/inventory/BOMModal.tsx       185       18         0      167         25
~xts/VoiceAssistantContext.tsx       182       24         7      151         32
services/serialService.ts            180       19        31      130         32
~ervices/userProfileService.ts       167       27         7      133         16
~onents/settings/SyncPanel.tsx       165       11         2      152         10
contexts/InventoryContext.tsx        158       22        12      124         23
contexts/DiagramContext.tsx          157       18         2      137         37
services/gitService.ts               154       20         4      130          4
~s/inventory/InventoryItem.tsx       149        9         0      140         16
~layout/AnalyticsDashboard.tsx       148       14         5      129          8
~mponents/AssistantSidebar.tsx       145       13        18      114         15
~nts/layout/DebugWorkbench.tsx       138       12         0      126         17
~s/inventory/InventoryList.tsx       138       12         2      124         15
hooks/useNeuralLink.ts               131       19         2      110         22
hooks/useResizeHandler.ts            119       15        24       80         12
services/simulationEngine.ts         119       19        19       81         29
components/ErrorBoundary.tsx         118       17         5       96          6
~/settings/DeveloperPortal.tsx       117        9         0      108          7
~s/diagram/PredictiveGhost.tsx       117       14         3      100         17
~nts/settings/PartsManager.tsx       116       11         9       96         10
~ents/inventory/MacroPanel.tsx       116        8         0      108         11
services/authService.ts              115       21        10       84         11
~s__/AssistantSidebar.test.tsx       115       18         4       93          0
~nents/diagram/TacticalHUD.tsx       112        9         5       98          5
~omponents/auth/Gatekeeper.tsx       111       11         0      100         22
~ces/circuitAnalysisService.ts       111       14        11       86         33
contexts/AuthContext.tsx             110       13         1       96          9
~ts/layout/ProjectTimeline.tsx       109       10         0       99          7
contexts/TutorialContext.tsx         107       14         3       90         17
services/aiMetricsService.ts         107       15         7       85         27
~__/userProfileService.test.ts       107       15         5       87          7
~ponents/layout/OmniSearch.tsx       104        9         0       95         15
components/diagram/Wire.tsx          104       13         2       89         18
~ices/gesture/GestureEngine.ts       103       15         2       86         16
